scenario_id,strategy,strategy_label,intent,tone,generation_provider,generation_model,generation_attempts,generation_fallback_used,judge_provider,judge_model,judge_attempts,judge_fallback_used,fact_coverage_score,tone_raw_score,tone_match_score,professional_quality_raw_score,professional_quality_score,overall_score,fact_assessments,generation_error,evaluation_error
meeting-follow-up,A,Strategy A (advanced),Follow up after a quarterly planning meeting,warm and professional,,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],"Email generation failed across all providers: gemini: Gemini email generation failed after 3 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",
meeting-follow-up,B,Strategy B (baseline),Follow up after a quarterly planning meeting,warm and professional,gemini,gemini-3.5-flash,3,False,gemini,gemini-3.1-flash-lite,1,False,1.0,5,1.0,5,1.0,1.0,"[{""fact_index"": 0, ""status"": ""accurate"", ""rationale"": ""The email correctly thanks the team for the meeting on June 16.""}, {""fact_index"": 1, ""status"": ""accurate"", ""rationale"": ""The deadline of June 24 for budget proposals is clearly stated.""}, {""fact_index"": 2, ""status"": ""accurate"", ""rationale"": ""The email correctly identifies that Priya will combine the proposals into the final plan.""}, {""fact_index"": 3, ""status"": ""accurate"", ""rationale"": ""The next meeting date and time are accurately provided.""}]",,
proposal-details-request,A,Strategy A (advanced),Request clarification and missing details for a vendor proposal,formal and direct,,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],"Email generation failed across all providers: gemini: Gemini email generation failed after 3 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",
proposal-details-request,B,Strategy B (baseline),Request clarification and missing details for a vendor proposal,formal and direct,,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
delayed-response-apology,A,Strategy A (advanced),Apologize to a customer for a delayed response to a support request,empathetic and accountable,,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
delayed-response-apology,B,Strategy B (baseline),Apologize to a customer for a delayed response to a support request,empathetic and accountable,,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
urgent-deadline-reminder,A,Strategy A (advanced),Remind project owners about an urgent compliance deadline,"urgent, concise, and professional",,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
urgent-deadline-reminder,B,Strategy B (baseline),Remind project owners about an urgent compliance deadline,"urgent, concise, and professional",,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
empathetic-support-reply,A,Strategy A (advanced),Respond to a customer whose account was temporarily locked,"empathetic, reassuring, and professional",,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
empathetic-support-reply,B,Strategy B (baseline),Respond to a customer whose account was temporarily locked,"empathetic, reassuring, and professional",,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
sales-outreach,A,Strategy A (advanced),Introduce an analytics product to a prospective retail client,"confident, concise, and consultative",,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
sales-outreach,B,Strategy B (baseline),Introduce an analytics product to a prospective retail client,"confident, concise, and consultative",,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
project-status-update,A,Strategy A (advanced),Send a weekly project status update to stakeholders,"clear, factual, and confident",,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
project-status-update,B,Strategy B (baseline),Send a weekly project status update to stakeholders,"clear, factual, and confident",,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
meeting-reschedule,A,Strategy A (advanced),Reschedule a client meeting because of an unavoidable conflict,polite and apologetic,,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
meeting-reschedule,B,Strategy B (baseline),Reschedule a client meeting because of an unavoidable conflict,polite and apologetic,,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
invoice-follow-up,A,Strategy A (advanced),Follow up on an overdue invoice without damaging the client relationship,"courteous, firm, and professional",,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
invoice-follow-up,B,Strategy B (baseline),Follow up on an overdue invoice without damaging the client relationship,"courteous, firm, and professional",,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
interview-invitation,A,Strategy A (advanced),Invite a candidate to a technical interview,welcoming and professional,,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
interview-invitation,B,Strategy B (baseline),Invite a candidate to a technical interview,welcoming and professional,,gemini-3.5-flash,,False,,gemini-3.1-flash-lite,,False,,,,,,,[],,
